Model,Zbiór danych,Dokładność (avg),Dokładność (std),Odzysk (avg),Odzysk (std),Precyzja (avg),Precyzja (std),Miara F (avg),Miara F (std)
ID3,Car,0.964,0.005,0.856,0.033,0.825,0.041,0.835,0.035
One vs Rest,Car,0.965,0.008,0.845,0.064,0.841,0.015,0.837,0.04
One vs One,Car,0.979,0.006,0.935,0.026,0.926,0.043,0.927,0.033
ID3,Balance scale,0.775,0.036,0.499,0.029,0.471,0.03,0.484,0.028
One vs Rest,Balance scale,0.786,0.034,0.515,0.027,0.501,0.025,0.504,0.025
One vs One,Balance scale,0.738,0.048,0.471,0.038,0.473,0.048,0.469,0.04
ID3,NPHA,0.508,0.029,0.355,0.03,0.351,0.031,0.349,0.031
One vs Rest,NPHA,0.53,0.055,0.34,0.04,0.336,0.045,0.334,0.044
One vs One,NPHA,0.516,0.037,0.341,0.021,0.341,0.02,0.339,0.02
